,id,job_title,company,location,rating_provided,rating,salary_provided,weblink,date_recorded,location_model,jurisdiction,city
44,e90e5d8718c437d3,Business Data-Analyst (Remote),Amexio,"Remote in Montréal, QC",n,,n,https://ca.indeed.com/viewjob?jk=e90e5d8718c437d3,2023-11-17,Remote,QC,Montréal
45,4a8ecacf46d2623c,Data Analyst,KitchenMate,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=4a8ecacf46d2623c,2023-11-17,Not Specified,ON,Toronto
46,329e92b6a9eea831,Senior Sales Tax Policy/Data Analyst,Ministry of Finance,"Toronto, ON",n,,y,https://ca.indeed.com/viewjob?jk=329e92b6a9eea831,2023-11-17,Not Specified,ON,Toronto
47,bdff9013ef750347,Research Analyst,George Brown College,"Hybrid remote in Toronto, ON",n,,y,https://ca.indeed.com/viewjob?jk=bdff9013ef750347,2023-11-17,Hybrid remote,ON,Toronto
48,9e4b4f27e176c2ac,Data Management Analyst,OCS,"Hybrid remote in Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=9e4b4f27e176c2ac,2023-11-17,Hybrid remote,ON,Toronto
49,f7130ae6bc5a8842,Performance Media Analyst,iProspect,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=f7130ae6bc5a8842,2023-11-17,Not Specified,ON,Toronto
50,d9f40c93b9404840,Data Analyst,Bayshore HealthCare,"Mississauga, ON",n,,n,https://ca.indeed.com/viewjob?jk=d9f40c93b9404840,2023-11-17,Not Specified,ON,Mississauga
51,fdddd4dbbc565929,business analyst - economics,Lullaboo Nursery and Childcare center,"Richmond Hill, ON",n,,y,https://ca.indeed.com/viewjob?jk=fdddd4dbbc565929,2023-11-17,Not Specified,ON,Richmond Hill
52,28d801ca53b092e8,Meter Data Analyst,UTIL-ASSIST,"Newmarket, ON",n,,n,https://ca.indeed.com/viewjob?jk=28d801ca53b092e8,2023-11-17,Not Specified,ON,Newmarket
53,1d7ae5a4886f67b0,Data Analyst,Canadian Tire Corporation,"Hybrid remote in Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=1d7ae5a4886f67b0,2023-11-17,Hybrid remote,ON,Toronto
54,9284bf38733727a3,AI Data Analyst Intern II,Vincent Associates Inc.,"Hybrid remote in Toronto, ON",n,,y,https://ca.indeed.com/viewjob?jk=9284bf38733727a3,2023-11-17,Hybrid remote,ON,Toronto
55,3c8cd46a9ee7b477,Merchandising Analyst - Custom Fit,Golf Town Operating Limited Partnership,"Woodbridge, ON",n,,n,https://ca.indeed.com/viewjob?jk=3c8cd46a9ee7b477,2023-11-17,Not Specified,ON,Woodbridge
56,ca1ab67dedd51e8a,Data Analyst Co-op,Guillevin International,"Concord, ON",n,,n,https://ca.indeed.com/viewjob?jk=ca1ab67dedd51e8a,2023-11-17,Not Specified,ON,Concord
57,fb8ed18c83d72a15,Business Analyst,Ritchoiz Manpower Solutions,"Mississauga, ON",n,,y,https://ca.indeed.com/viewjob?jk=fb8ed18c83d72a15,2023-11-17,Not Specified,ON,Mississauga
